"neg.compound.name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PS.22.2.13Z.16Z..20.1.11Z.....20.13993",0.0405632928571427,0.773649203571428,0.107809407810201,0.915438361169634,0.999669890616597,-4.64608618165085
"X3.5.dimethyl.tetradecanoic.acid",-0.0346364428571428,1.02466667857143,-0.106989232229626,0.916079068949083,0.999669890616597,-4.64609532160575
"C24.H51.Cl.N2.S2",-0.0314610207142858,-1.20329236410714,-0.10681561106511,0.916214706624371,0.999669890616597,-4.64609724749449
"PI.20.0.16.0....12.765467",0.0385551928571429,-0.707323841071429,0.105746426536081,0.917050041848218,0.999669890616597,-4.64610903863815
"X12.tetradecynoic.acid...12.715933",-0.0150462142857143,-1.53502804285714,-0.105243341228521,0.917443128305772,0.999669890616597,-4.64611454581309
"C39.H21.N5.O3",0.0251263928571428,0.223669305357143,0.103517546866575,0.918791747241812,0.999669890616597,-4.64613323866718
"mucic.acid...1.0624667",0.0307590571428572,-0.829005210714286,0.10253531316378,0.919559426291238,0.999669890616597,-4.64614374001141
"C4.H2.Cl2.O2.S2",0.0306448571428571,-0.495621392857143,0.101717807108476,0.920198422549028,0.999669890616597,-4.6461524040479
"C43.H24.Cl2.N2.O6.S2",-0.0375409714285713,-0.353116398214286,-0.10147748877907,0.920386275938555,0.999669890616597,-4.64615493781389
"C3.H5.Cl3.O2",0.0389516142857144,-1.28567120178571,0.101431572150833,0.92042216886061,0.999669890616597,-4.64615542124972
"X267.8128.0.5271428",0.0406567928571428,-0.595115360714286,0.100657256662527,0.921027476101424,0.999669890616597,-4.64616354079626
"X147.9899.0.56700003",0.0367997714285715,-1.83818582321429,0.0986024816065569,0.922634000960934,0.999669890616597,-4.64618478641703
"Hydroxybupropion...0.9952857",-0.0352932210714284,0.362548771821429,-0.0978486749356347,0.923223451187714,0.999669890616597,-4.64619247088855
"C5.H6.Cl.N.S4...1.6199286",-0.0259570928571428,-0.98721925,-0.0972795816357319,0.923668492612456,0.999669890616597,-4.64619823336967
"PE.O.20.0.0.0.",-0.0244775,0.898399907142857,-0.0971803447051606,0.923746100394311,0.999669890616597,-4.64619923478113
"C7.H21.N5.O2",-0.0325726285714286,-0.656361644642858,-0.096460490537718,0.924309082702471,0.999669890616597,-4.64620646838183
"C29.H29.N23",-0.0323831714285714,-0.0371615321428576,-0.0960514794256985,0.924628979883257,0.999669890616597,-4.64621055450381
"TG.17.2.9Z.12Z..17.2.9Z.12Z..18.1.9Z...iso3.",-0.0379930285714285,-0.943444423214285,-0.0958404546435069,0.92479403252466,0.999669890616597,-4.64621265591783
"TG.17.2.9Z.12Z..17.2.9Z.12Z..18.1.9Z...iso3....7.120072",-0.0220409064285715,0.720372115714286,-0.0948223426488305,0.925590396492101,0.999669890616597,-4.64622272961265
"N.arachidonoyl.histidine...8.534785",-0.0314851642857143,-0.816612221428572,-0.0944238021982297,0.925902155801584,0.999669890616597,-4.64622664372621
"PE.18.3.6Z.9Z.12Z..19.0.",-0.0308577428571426,-1.00075455357143,-0.0925441718502043,0.927372668268158,0.999669890616597,-4.64624488202188
"C42.H83.N3.O10",0.0356466214285713,-0.697027948214286,0.0874470211740949,0.931361728417457,0.999669890616597,-4.64629249823386
"C21.H50.N12.O4.S",0.0121526428571428,-1.08951682678571,0.0855043429266067,0.932882581804035,0.999669890616597,-4.64630993765781
"Cerebroside.D",-0.0320183928571429,0.936274180357143,-0.0844763587896988,0.933687462559832,0.999669890616597,-4.64631900763073
"X307.1855.14.102644",0.0321447562857144,-1.926569907625,0.0841873469429934,0.93391376354905,0.999669890616597,-4.64632153787702
"Plastoquinol.9...13.982",-0.0232227978571427,1.27174964410714,-0.0841685405553629,0.933928489459683,0.999669890616597,-4.64632170222354
"Cerebroside.D...14.235571",-0.0287186285714285,0.232228023214285,-0.084048989783604,0.934022101527806,0.999669890616597,-4.6463227461046
"C51.H85.N.O3.S",0.0244055650000001,-1.25861815910714,0.0832209932915605,0.934670476479151,0.999669890616597,-4.64632993525939
"PS.22.0.18.2.9Z.12Z.....15.437999",0.0280272000000001,-1.15543691607143,0.0830228412344274,0.934825649429757,0.999669890616597,-4.64633164519485
"X801.5922.16.450857",-0.0281517071428573,-0.753780980357143,-0.0823612429338283,0.935343766867909,0.999669890616597,-4.64633732491867
"PS.22.1.11Z..18.0....16.708002",0.0248299000000001,-1.14446450714286,0.0821646802713383,0.935497706750237,0.999669890616597,-4.64633900363768
"X846.6805.17.041143",0.0287510428571429,1.05611259464286,0.0820553222677916,0.935583352631741,0.999669890616597,-4.64633993586221
"TG.17.0.17.1.9Z..18.3.9Z.12Z.15Z...iso6....17.180643",-0.0301129785714286,0.470308394642857,-0.0806333833647786,0.936697045936287,0.999669890616597,-4.64635194435312
"PS.19.1.9Z..20.0....18.005571",-0.0180750071428571,0.109083555357143,-0.0802751676073473,0.936977629699717,0.999669890616597,-4.64635493648744
"PS.17.0.21.0.",-0.0366528221428571,0.680092358928571,-0.0793796178198683,0.937679134577991,0.999669890616597,-4.6463623587094
"PS.22.4.7Z.10Z.13Z.16Z..21.0....21.11743",0.02316155,-1.2137712125,0.0792797995186489,0.93775732784855,0.999669890616597,-4.6463631808427
"X846.6251.21.308712",0.0277357785714285,-0.674385978571429,0.0765119267506957,0.939925816042627,0.999669890616597,-4.646385566396
"TG.16.1.9Z..16.1.9Z..16.1.9Z.....22.735641",-0.0277972637214283,1.03090638027321,-0.0761571528106702,0.940203799026121,0.999669890616597,-4.64638837824622
"C5.H5.Cl.O.S...22.868856",-0.0220439285714286,0.0035150803571428,-0.0760327444826254,0.940301281010457,0.999669890616597,-4.64638936118503
"Dalapon",-0.0279246735714287,-1.60696434035714,-0.0757936648461568,0.94048861813569,0.999669890616597,-4.64639124562575
"C3.H6.N4.O3",-0.0222680142857143,-0.986713983928572,-0.0728627394551997,0.942785510635846,0.999669890616597,-4.64641386563062
"C4.H2.Cl2.O2.S2...3.8134286",-0.0287842192857142,-1.76248792446429,-0.0725142936313076,0.943058613849548,0.999669890616597,-4.64641649558043
"Galabiosylceramide..d18.1.18.0.",-0.0260497000000001,-0.5112119125,-0.0717148416495149,0.943685232111673,0.999669890616597,-4.64642248198279
"C29.H57.N9",0.0218681642857144,0.874611382142857,0.0714473212033169,0.943894925770904,0.999669890616597,-4.64642447040942
"PA.22.6.4Z.7Z.10Z.13Z.16Z.19Z..22.1.11Z.....14.060785",-0.0277654714285715,0.765247441071429,-0.0712737885678737,0.944030950145042,0.999669890616597,-4.64642575627415
"PS.18.1.9Z..22.2.13Z.16Z.....14.508428",-0.0269275742857143,-1.261192495,-0.0694895035777119,0.945429672995339,0.999669890616597,-4.64643879653871
"PS.20.1.11Z..18.0....15.570857",-0.0235303214285713,1.22426114285714,-0.0693071577021009,0.94557262659194,0.999669890616597,-4.64644011059692
"PS.22.4.7Z.10Z.13Z.16Z..22.1.11Z.....17.92593",-0.0249033071428571,0.0782649196428567,-0.0668044010631565,0.947534902705899,0.999669890616597,-4.64645779793038
"PS.22.4.7Z.10Z.13Z.16Z..22.1.11Z.....17.982857",-0.0220723928571428,-0.206199369642858,-0.0663724213365854,0.947873630199938,0.999669890616597,-4.64646078503646
"X872.6964.18.251501",0.0246858214285716,-1.89011583928571,0.0657137723435253,0.948390115253214,0.999669890616597,-4.64646530228184
"C35.H78.N22.S2",0.0254925785714287,-1.1617034625,0.0652325041148948,0.948767520709195,0.999669890616597,-4.6464685745305
"C52.H84.N6.O3.S",-0.0243847014285714,-2.02892562678571,-0.0650510006445068,0.948909857077713,0.999669890616597,-4.64646980237247
"PS.22.2.13Z.16Z..20.1.11Z.....20.085497",-0.0213243714285714,-0.948039417857143,-0.0650036953823949,0.94894695450817,0.999669890616597,-4.64647012182354
"C39.H81.Cl.N10.O6...20.568714",-0.0225457142857144,-0.471491351785715,-0.0649316272038943,0.949003471587115,0.999669890616597,-4.64647060805159
"C33.H11.Cl3.N2.O8",-0.0128849285714285,-1.10214691428571,-0.064876060704632,0.949047047962782,0.999669890616597,-4.64647098257856
"C7.H.Cl",-0.0186534071428572,-0.236588426785714,-0.0646561396981461,0.949219516108496,0.999669890616597,-4.64647246173801
"X3S.hydroxy.decanoic.acid",-0.0192850785714284,-0.533776135714286,-0.0640443149430719,0.949699339678018,0.999669890616597,-4.64647655039168
"C14.H22.O...12.619071",-0.0142106928571429,1.55326536785714,-0.0629082039578048,0.950590387446324,0.999669890616597,-4.64648403968471
"PtdIns..4..P1..1.2.dihexanoyl.",0.0149955428571429,-1.83346950357143,0.0626701630894412,0.9507770906391,0.999669890616597,-4.64648559189097
"C28.H62.Cl.N7...10.608429",0.0187708214285716,-1.48209299464286,0.0622824037693881,0.951081229197977,0.999669890616597,-4.64648810778558
"C11.H21.Cl3.O4.S5",-0.0179618142857144,-0.0346433892857146,-0.062223117115029,0.951127731301803,0.999669890616597,-4.64648849107953
"X2.Hexaprenyl.3.methyl.6.methoxy.1.4.benzoquinol",0.0248558142857144,-0.113468837500001,0.0616397809676335,0.951585286743782,0.999669890616597,-4.64649224295583
"C18.H27.Cl.N12.O10",0.0159897357142858,-0.434602832142857,0.0616211809685775,0.951599876442516,0.999669890616597,-4.64649236200564
"X8.Oxodeoxycoformycin...0.86538464",0.0204992428571428,-1.31048911964286,0.0610172892242324,0.952073574163713,0.999669890616597,-4.64649620772824
"C5.H6.Cl.N.S4...1.6336154",-0.017885007142857,-0.866326614285714,-0.0599195811693103,0.95293467277197,0.999669890616597,-4.64650310127704
"Cys.Cys.Cys...1.7564615",0.0204103285714285,-0.150116817857143,0.059524763620651,0.953244402683744,0.999669890616597,-4.6465055501361
"C6.H4.Cl3.N.O.S...1.9225385",-0.0193480714285714,-0.502420000000001,-0.058918559655506,0.953719977854436,0.999669890616597,-4.64650927863539
"C5.H6.Cl.N.S4...2.2593846",0.0176572857142857,-0.893510500000001,0.0586617769633209,0.95392143277239,0.999669890616597,-4.64651084649687
"Lenthionine...2.7068465",-0.0179395214285715,-0.867909241071429,-0.0576701776112182,0.954699406885493,0.999669890616597,-4.64651683676304
"DG.22.6.4Z.7Z.10Z.13Z.16Z.19Z..24.0.0.0.",-0.0165989642857144,-0.492835680357143,-0.0573009886616479,0.954989071692447,0.999669890616597,-4.64651904097023
"PE.22.1.13Z..20.3.8Z.11Z.14Z..",-0.0169568642857142,0.292222455357143,-0.055647782766459,0.956286252337794,0.999669890616597,-4.64652873778138
"PS.18.0.22.0....12.536692",0.0196752214285713,-0.257125680357143,0.0555064283237421,0.956397171395576,0.999669890616597,-4.6465295537264
"C22.H46.N16.S",-0.0238944571428571,-0.697574960714285,-0.0553875871964728,0.956490425251089,0.999669890616597,-4.64653023811238
